Partida,Ganador,Dur,P_MCTS,P_Heuristico,P_Rand
458,Rand,2.740889199999856,38,37,45
459,Rand,2.550916299999699,25,31,53
460,Heuristico,2.593704400000206,47,53,9
452,MCTS,4.0005223999996815,70,28,20
450,Heuristico,4.9495928999999705,57,63,0
390,Rand,17.59913319999987,11,41,68
461,Rand,3.159678900000017,51,2,67
464,MCTS,2.198199399999794,88,17,13
462,Rand,2.684933000000001,43,4,69
465,Heuristico,2.383111000000099,38,64,14
466,MCTS,2.3368948999996064,67,51,0
467,MCTS,2.246292899999844,81,0,39
463,MCTS,3.4178483999999116,64,38,18
469,MCTS,2.515998000000309,83,13,21
470,Rand,2.497725800000353,46,12,52
468,Heuristico,2.8988884999998845,23,97,0
405,MCTS,16.470621400000255,46,35,39
473,Rand,2.312696400000277,36,24,60
422,MCTS,14.183397000000241,67,27,23
475,MCTS,2.4208953999996083,73,35,10
474,Rand,2.525251500000195,30,3,85
476,MCTS,2.2866571999998087,52,40,24
477,Rand,2.4911173999998937,30,26,64
402,Heuristico,19.04633960000001,42,51,24
478,MCTS,2.684901600000103,90,28,2
480,MCTS,2.3559430999998767,86,4,19
481,Heuristico,2.490569399999913,0,77,43
479,Heuristico,2.7459625999999844,4,58,58
378,MCTS,24.931948899999952,75,12,33
409,MCTS,18.525471200000084,77,14,29
471,MCTS,5.395717300000342,84,32,4
484,MCTS,2.3230338999997002,54,30,25
486,MCTS,2.3160812999999507,60,28,29
406,MCTS,20.110766299999796,80,37,3
488,Heuristico,2.577119500000208,13,58,47
487,Rand,2.7294944999998734,44,21,55
482,MCTS,4.165133799999694,78,17,23
489,Rand,2.5743524999998044,43,33,44
427,Heuristico,16.634404800000084,40,43,35
493,MCTS,2.23071310000023,56,40,20
491,MCTS,2.6866915999999037,66,5,39
497,Heuristico,2.0884636000000683,31,60,27
498,Heuristico,2.171182200000203,32,63,25
451,MCTS,12.487689000000046,70,2,44
435,Rand,16.06300280000005,38,3,68
494,MCTS,2.9947078000000147,81,36,0
424,MCTS,18.084391500000038,68,49,3
472,Heuristico,7.848543800000243,29,64,17
492,MCTS,3.9584168000001227,99,14,4
499,MCTS,2.4241667999999663,80,6,24
483,MCTS,5.876330099999905,80,18,22
485,Heuristico,5.510634100000061,13,93,14
495,MCTS,4.345369300000129,82,2,36
496,Heuristico,4.014333899999656,19,88,13
500,MCTS,2.9967501999999513,44,32,40
490,MCTS,6.302000000000135,74,33,13
