matchup,seed,winner,points_DNN,points_MCTS,turns
DNN_vs_MCTS,415,MCTS,37,80,39
DNN_vs_MCTS,419,MCTS,28,92,38
DNN_vs_MCTS,420,DNN,67,53,38
DNN_vs_MCTS,422,MCTS,53,67,38
DNN_vs_MCTS,421,MCTS,45,75,39
DNN_vs_MCTS,423,MCTS,42,67,39
DNN_vs_MCTS,427,MCTS,29,91,39
DNN_vs_MCTS,424,MCTS,54,66,39
DNN_vs_MCTS,428,MCTS,47,63,39
DNN_vs_MCTS,426,MCTS,15,94,39
DNN_vs_MCTS,429,MCTS,28,81,39
DNN_vs_MCTS,431,MCTS,59,61,39
DNN_vs_MCTS,425,MCTS,29,81,38
DNN_vs_MCTS,433,MCTS,52,54,38
DNN_vs_MCTS,430,MCTS,25,95,39
DNN_vs_MCTS,432,MCTS,33,87,39
DNN_vs_MCTS,434,MCTS,34,76,39
DNN_vs_MCTS,435,MCTS,48,72,38
DNN_vs_MCTS,437,MCTS,34,86,39
DNN_vs_MCTS,436,MCTS,36,77,39
DNN_vs_MCTS,438,MCTS,54,62,38
DNN_vs_MCTS,440,MCTS,49,61,38
DNN_vs_MCTS,441,DNN,72,48,39
DNN_vs_MCTS,439,MCTS,0,120,39
DNN_vs_MCTS,442,MCTS,19,80,39
DNN_vs_MCTS,444,MCTS,32,85,39
DNN_vs_MCTS,443,MCTS,45,75,38
DNN_vs_MCTS,445,MCTS,15,93,38
DNN_vs_MCTS,446,MCTS,22,87,39
DNN_vs_MCTS,447,MCTS,31,89,39
DNN_vs_MCTS,449,MCTS,45,71,39
DNN_vs_MCTS,450,DNN,75,35,38
DNN_vs_MCTS,452,MCTS,33,87,39
DNN_vs_MCTS,451,MCTS,46,71,39
DNN_vs_MCTS,448,MCTS,36,74,38
DNN_vs_MCTS,455,MCTS,44,76,38
DNN_vs_MCTS,453,MCTS,35,78,38
DNN_vs_MCTS,456,MCTS,54,66,39
DNN_vs_MCTS,454,MCTS,35,74,39
DNN_vs_MCTS,459,MCTS,26,87,38
DNN_vs_MCTS,457,MCTS,17,103,39
DNN_vs_MCTS,462,MCTS,41,68,39
DNN_vs_MCTS,461,MCTS,47,69,38
DNN_vs_MCTS,460,MCTS,45,64,39
DNN_vs_MCTS,458,MCTS,27,83,38
DNN_vs_MCTS,463,MCTS,36,81,39
DNN_vs_MCTS,464,MCTS,55,62,39
DNN_vs_MCTS,465,MCTS,34,74,39
DNN_vs_MCTS,466,MCTS,43,63,38
DNN_vs_MCTS,467,DNN,81,39,39
DNN_vs_MCTS,470,MCTS,10,106,39
DNN_vs_MCTS,469,DNN,85,32,39
DNN_vs_MCTS,468,MCTS,51,69,39
DNN_vs_MCTS,473,MCTS,37,83,38
DNN_vs_MCTS,471,MCTS,14,85,38
DNN_vs_MCTS,472,DNN,71,49,39
DNN_vs_MCTS,475,MCTS,19,101,39
DNN_vs_MCTS,476,MCTS,30,90,39
DNN_vs_MCTS,474,MCTS,42,75,38
DNN_vs_MCTS,477,MCTS,11,109,39
DNN_vs_MCTS,478,MCTS,58,62,39
DNN_vs_MCTS,479,DNN,55,54,38
DNN_vs_MCTS,480,MCTS,43,75,39
DNN_vs_MCTS,484,MCTS,25,91,39
DNN_vs_MCTS,481,MCTS,59,61,39
DNN_vs_MCTS,483,MCTS,52,65,39
DNN_vs_MCTS,486,MCTS,42,78,39
DNN_vs_MCTS,485,MCTS,48,72,38
DNN_vs_MCTS,482,MCTS,22,95,39
DNN_vs_MCTS,488,MCTS,22,88,39
DNN_vs_MCTS,487,MCTS,31,79,38
DNN_vs_MCTS,489,MCTS,27,90,39
DNN_vs_MCTS,490,MCTS,30,87,39
DNN_vs_MCTS,491,MCTS,20,89,39
DNN_vs_MCTS,492,MCTS,43,73,38
DNN_vs_MCTS,495,MCTS,20,97,39
DNN_vs_MCTS,497,MCTS,37,79,38
DNN_vs_MCTS,496,MCTS,42,76,38
DNN_vs_MCTS,494,MCTS,37,72,39
DNN_vs_MCTS,493,MCTS,55,65,39
DNN_vs_MCTS,498,MCTS,48,70,39
DNN_vs_MCTS,499,MCTS,17,103,38
